Date,res_id,meal_id,Price ($),discount
2018-09-10T21:06:27Z,1,26830,50,0
2018-09-10T21:06:27Z,2,54253,50,0
2018-09-10T21:06:27Z,3,31962,50,0
2018-09-10T21:06:16Z,4,33647,50,0
2018-09-10T21:06:16Z,5,48199,50,0
2018-09-10T21:06:16Z,6,57397,50,0
2018-09-10T21:06:16Z,7,12424,50,0
2018-09-10T21:06:16Z,8,14930,50,0
2018-09-10T21:06:16Z,9,16657,50,0
2018-09-10T21:06:09Z,10,10537,50,0
2018-09-10T21:06:09Z,11,19560,50,0
2018-09-10T21:06:09Z,12,21653,50,0
2018-09-10T21:06:09Z,13,32083,50,0
2018-09-10T21:06:09Z,14,10423,50,0
2018-09-10T21:06:09Z,15,10565,50,0
2018-09-10T21:05:27Z,16,17035,50,0
2018-09-10T21:05:27Z,17,27801,50,0
2018-09-10T21:05:27Z,18,30645,50,0
2018-09-10T21:05:27Z,19,30832,50,0
2018-09-10T21:05:27Z,20,34047,56.25,0
2018-09-10T21:03:17Z,21,34139,65.25,0
2018-09-10T21:03:05Z,22,45502,55.5,0
2018-09-10T21:02:30Z,23,46101,55.5,0
2018-09-10T21:02:30Z,24,51615,55.5,0
2018-09-10T21:02:30Z,25,4408,55.5,0
2018-09-10T21:02:30Z,26,5454,50,0
2018-09-10T21:02:24Z,27,5797,50,0
2018-09-10T21:02:24Z,28,5865,50,0
2018-09-10T21:02:11Z,29,7200,50,0
2018-09-10T21:02:11Z,30,9198,50,0
2018-09-10T21:02:11Z,31,9532,50,0
2018-09-10T21:02:11Z,32,9802,50,0
2018-09-10T21:02:11Z,33,10046,50,0
2018-09-10T21:02:11Z,34,12065,50,0
2018-09-10T21:02:11Z,35,12456,50,0
2018-09-10T21:02:11Z,36,12706,50,0
2018-09-10T21:02:11Z,37,13174,50,0
2018-09-10T21:02:11Z,38,14609,50,0
2018-09-10T21:02:11Z,39,15351,50,0
2018-09-10T21:02:11Z,40,15882,50,0
2018-09-10T21:02:11Z,41,17045,7,0
2018-09-10T21:02:11Z,42,17234,6,0
2018-09-10T21:02:11Z,43,17562,7,0
2018-09-10T21:02:11Z,44,19522,6,0
2018-09-10T21:02:11Z,45,21598,6,0
2018-09-10T21:02:11Z,46,22274,7,0
2018-09-10T21:02:11Z,47,24270,7,0
2018-09-10T21:02:11Z,48,25123,7.275,0
2018-09-10T21:02:11Z,49,25312,6.775,0
2018-09-10T21:02:11Z,50,26066,7.175,0
2018-09-10T21:02:11Z,51,27186,6.975,0
2018-09-10T21:02:11Z,52,28289,6.225,0
2018-09-10T21:02:11Z,53,31235,6.05,0
2018-09-10T21:02:11Z,54,31479,6.8375,0
2018-09-10T21:02:11Z,55,32635,8.625,0
2018-09-10T21:02:11Z,56,33073,8.985,0
2018-09-10T21:02:11Z,57,33515,7.6244,0
2018-09-10T21:02:11Z,58,34395,9.4,0
2018-09-10T21:02:11Z,59,34465,10.25,0
2018-09-10T21:02:10Z,60,35645,11.75,0
2018-09-10T21:02:10Z,61,36076,9.7561,0
2018-09-10T21:02:10Z,62,36568,11.4,0
2018-09-10T21:02:10Z,63,45148,11.1275,0
2018-09-10T21:02:10Z,64,45502,11.2,0
2018-09-10T21:02:10Z,65,53517,11.4,0
2018-09-10T21:02:10Z,66,55859,11.4,0
2018-09-10T21:02:10Z,67,57341,11.4,0
2018-09-10T21:02:10Z,68,58267,11.4,0
2018-09-10T21:02:10Z,69,4642,11.4,0
2018-09-10T21:02:10Z,70,5566,11.435,0
2018-09-10T21:02:10Z,71,9309,11.4225,0
2018-09-10T21:02:10Z,72,9645,11.24,0
2018-09-10T21:02:10Z,73,12433,11.55,0
2018-09-10T21:02:10Z,74,12543,11.995,0
2018-09-10T21:02:10Z,75,13174,12.175,0
2018-09-10T21:01:02Z,76,14473,12.73,0
2018-09-10T21:01:02Z,77,16679,13.625,0
2018-09-10T21:01:02Z,78,17488,12.75,0
2018-09-10T21:01:02Z,79,21653,14.125,0
2018-09-10T21:00:38Z,80,23922,13.25,0
2018-09-06T04:37:44Z,81,26830,13.625,0
2018-09-06T04:37:44Z,82,27435,13.375,0
2018-09-06T04:37:44Z,83,33084,12.95,0
2018-09-06T04:37:44Z,84,47317,13,0
2018-09-06T04:37:44Z,85,48427,13.75,0
2018-09-06T04:37:44Z,86,48995,14,0
2018-09-06T04:37:44Z,87,53534,14.3333,0
2018-09-06T04:37:44Z,88,54303,15,0
2018-09-06T04:37:44Z,89,5525,15,0
2018-09-06T04:37:44Z,90,6497,15.25,0
2018-09-06T04:37:44Z,91,6588,16,0
2018-09-06T04:37:44Z,92,7005,16,0
2018-09-06T04:37:44Z,93,7364,17.25,0
2018-09-06T04:37:44Z,94,8145,23.375,0
2018-09-06T04:37:44Z,95,8261,25,0
2018-09-06T04:37:44Z,96,9790,24,0
2018-09-06T04:37:44Z,97,10151,20,0
2018-09-06T04:37:44Z,98,10763,18.35,0
2018-09-06T04:37:44Z,99,10789,17.8,0
2018-09-04T21:27:52Z,100,12795,20.85,0
